"","BE_13_10.1","BE_13_10.2","BE_13_10.3","BE_13_10.4","BE_13_10.5","BE_13_10.6","BE_13_10.7","BE_13_10.8","BE_13_10.9","BE_13_10.10","BE_13_10.11","BE_13_10.12","BE_13_10.13","BE_13_10.14","BE_13_10.15","BE_13_10.16","BE_13_10.17","BE_13_10.18"
"NÚMERO SECUENCIAL",2324799,2324800,2324801,2324802,2324803,2324368,2324804,2324805,2324806,2324807,2324808,2324809,2324810,2324811,2324812,2324813,2324814,2324815
"DESCRIPCIÓN DE LA SERIE","PDE.AAPP.COMUNIDADES AUTONOMAS.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.ANDALUCIA.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.ARAGON.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.ASTURIAS, PRINCIPADO DE.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.BALEARS, ILLES.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.CANARIAS.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.CANTABRIA.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.CASTILLA- LA MANCHA.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.CASTILLA Y LEON.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.CATALUÑA.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.EXTREMADURA.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.GALICIA.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.RIOJA, LA.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.MADRID, COMUNIDAD DE.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.MURCIA, REGIÓN DE.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.NAVARRA, COMUNIDAD FORAL DE.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.PAIS VASCO.DEUDA SEGUN PDE. TOTAL EN % PIB","PDE.AAPP.COMUNIDADES AUTONOMAS.VALENCIA/VALÈNCIA.DEUDA SEGUN PDE. TOTAL EN % PIB"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"MAR 1995",5.7,7.2,4.5,4.0,3.6,4.5,4.6,2.6,3.1,7.2,6.5,8.9,3.9,3.7,5.6,9.3,6.8,6.3
"JUN 1995",5.8,7.4,4.6,3.9,3.6,4.4,4.4,2.4,2.9,7.4,6.3,8.6,4.0,3.7,5.4,10.9,7.0,6.2
"SEP 1995",5.8,7.5,4.4,3.9,3.5,4.3,4.3,2.5,3.0,7.4,6.1,9.2,3.7,3.5,5.3,10.7,7.5,6.3
"DIC 1995",6.0,7.6,4.5,3.8,3.4,4.3,4.0,2.7,3.0,8.3,6.0,8.5,3.9,3.7,5.3,10.4,7.3,6.5
"MAR 1996",6.1,7.9,4.4,3.9,3.5,4.2,3.1,2.6,2.9,8.2,6.5,9.5,4.1,3.8,5.1,10.1,7.5,6.7
"JUN 1996",6.2,7.8,4.2,4.0,3.5,4.5,2.9,2.5,3.2,8.4,6.2,9.6,4.0,4.1,5.0,11.3,7.9,6.7
"SEP 1996",6.2,8.0,4.4,3.9,3.3,4.7,2.7,2.4,3.2,8.3,6.5,9.6,3.8,4.2,5.0,9.8,7.6,6.7
